"id","calificacion","id_usuario","id_publicacion"
1,2,6,18
2,4,6,15
3,2,9,18
4,2,11,2
5,4,2,11
6,2,9,3
7,2,19,11
8,4,16,13
9,2,5,9
10,5,8,18
11,4,9,19
12,3,19,13
13,5,8,5
14,1,16,3
15,2,4,5
16,1,14,20
17,5,13,13
18,3,15,17
19,1,18,1
20,3,18,9
21,4,4,10
22,1,6,15
23,2,9,17
24,3,17,4
25,2,17,20
26,2,5,12
27,1,18,17
28,4,20,11
29,3,1,4
30,1,10,8
31,1,8,19
32,1,3,16
33,2,18,5
34,2,16,18
35,5,9,17
36,5,14,7
37,4,7,10
38,5,12,15
39,2,15,4
40,3,8,3
41,5,1,19
42,2,8,19
43,1,1,3
44,1,8,3
45,5,11,3
46,4,8,9
47,2,7,18
48,4,19,19
49,4,8,16
50,1,7,4
