"id","fecha","total","id_usuario","id_publicacion","cantidad"
1,"2025-10-28",6000.0,1,4,3
2,"2025-10-29",1800.0,8,9,1
3,"2025-10-30",3600.0,4,5,3
4,"2025-10-31",1587.0,3,18,1
5,"2025-10-28",987.0,14,19,1
6,"2025-10-29",300.0,1,2,1
7,"2025-10-30",1800.0,8,7,3
8,"2025-10-31",1985.0,1,20,1
9,"2025-10-28",1587.0,7,18,1
10,"2025-10-29",1587.0,14,18,1
11,"2025-10-30",600.0,15,8,3
12,"2025-10-31",1800.0,1,9,1
13,"2025-10-28",977.0,11,14,1
14,"2025-10-29",1800.0,5,9,1
15,"2025-10-30",400.0,4,11,1
16,"2025-10-31",2208.0,4,13,1
17,"2025-10-28",1050.0,12,12,3
18,"2025-10-29",5400.0,2,9,3
19,"2025-10-30",2996.0,18,15,1
20,"2025-10-31",2000.0,13,4,1
21,"2025-10-28",1587.0,10,18,1
22,"2025-10-29",1985.0,12,20,1
23,"2025-10-30",987.0,7,19,1
24,"2025-10-31",2400.0,2,3,3
25,"2025-10-28",200.0,10,8,1
26,"2025-10-29",400.0,4,8,2
27,"2025-10-30",5400.0,15,9,3
28,"2025-10-31",700.0,6,12,2
29,"2025-10-28",1050.0,7,12,3
30,"2025-10-29",5400.0,3,9,3
